Week of,Weekly U.S. Field Production of Crude Oil Thousand Barrels per Day
10/26/2018,11200
10/19/2018,10900
10/12/2018,10900
10/5/2018,11200
09/28/2018,11100
09/21/2018,11100
09/14/2018,11000
09/7/2018,10900
08/31/2018,11000
08/24/2018,11000
08/17/2018,11000
08/10/2018,10900
08/3/2018,10800
07/27/2018,10900
07/20/2018,11000
07/13/2018,11000
07/6/2018,10900
06/29/2018,10900
06/22/2018,10900
06/15/2018,10900
06/8/2018,10900
06/1/2018,10800
05/25/2018,10769
05/18/2018,10725
05/11/2018,10723
05/4/2018,10703
04/27/2018,10619
04/20/2018,10586
04/13/2018,10540
04/6/2018,10525
03/30/2018,10460
03/23/2018,10433
03/16/2018,10407
03/9/2018,10381
03/2/2018,10369
02/23/2018,10283
02/16/2018,10270
02/9/2018,10271
02/2/2018,10251
01/26/2018,9919
01/19/2018,9878
01/12/2018,9750
01/5/2018,9492
12/29/2017,9782
12/22/2017,9754
12/15/2017,9789
12/8/2017,9780
12/1/2017,9707
11/24/2017,9682
11/17/2017,9658
11/10/2017,9645
11/3/2017,9620
10/27/2017,9553
10/20/2017,9507
10/13/2017,8406
10/6/2017,9480
09/29/2017,9561
09/22/2017,9547
09/15/2017,9510
09/8/2017,9353
09/1/2017,8781
08/25/2017,9530
08/18/2017,9528
08/11/2017,9502
08/4/2017,9423
07/28/2017,9430
07/21/2017,9410
07/14/2017,9429
07/7/2017,9397
06/30/2017,9338
06/23/2017,9250
06/16/2017,9350
06/9/2017,9330
06/2/2017,9318
05/26/2017,9342
05/19/2017,9320
05/12/2017,9305
05/5/2017,9314
04/28/2017,9293
04/21/2017,9265
04/14/2017,9252
04/7/2017,9235
03/31/2017,9199
03/24/2017,9147
03/17/2017,9129
03/10/2017,9109
03/3/2017,9088
02/24/2017,9032
02/17/2017,9001
02/10/2017,8977
02/3/2017,8978
01/27/2017,8915
01/20/2017,8961
01/13/2017,8944
01/6/2017,8946
12/30/2016,8770
12/23/2016,8766
12/16/2016,8786
12/9/2016,8796
12/2/2016,8697
11/25/2016,8699
11/18/2016,8690
11/11/2016,8681
11/4/2016,8692
10/28/2016,8522
10/21/2016,8504
10/14/2016,8464
10/7/2016,8450
09/30/2016,8467
09/23/2016,8497
09/16/2016,8512
09/9/2016,8493
09/2/2016,8458
08/26/2016,8488
08/19/2016,8548
08/12/2016,8597
08/5/2016,8445
07/29/2016,8460
07/22/2016,8515
07/15/2016,8494
07/8/2016,8485
07/1/2016,8428
06/24/2016,8622
06/17/2016,8677
06/10/2016,8716
06/3/2016,8745
05/27/2016,8735
05/20/2016,8767
05/13/2016,8791
05/6/2016,8802
04/29/2016,8825
04/22/2016,8938
04/15/2016,8953
04/8/2016,8977
04/1/2016,9008
03/25/2016,9022
03/18/2016,9038
03/11/2016,9068
03/4/2016,9078
02/26/2016,9077
02/19/2016,9102
02/12/2016,9135
02/5/2016,9186
01/29/2016,9214
01/22/2016,9221
01/15/2016,9235
01/8/2016,9227
01/1/2016,9219
12/25/2015,9202
12/18/2015,9179
12/11/2015,9176
12/4/2015,9164
11/27/2015,9202
11/20/2015,9165
11/13/2015,9182
11/6/2015,9185
10/30/2015,9160
10/23/2015,9112
10/16/2015,9096
10/9/2015,9096
10/2/2015,9172
09/25/2015,9096
09/18/2015,9136
09/11/2015,9117
09/4/2015,9135
08/28/2015,9218
08/21/2015,9337
08/14/2015,9348
08/7/2015,9395
07/31/2015,9465
07/24/2015,9413
07/17/2015,9558
07/10/2015,9562
07/3/2015,9604
06/26/2015,9595
06/19/2015,9604
06/12/2015,9589
06/5/2015,9610
05/29/2015,9586
05/22/2015,9566
05/15/2015,9262
05/8/2015,9374
05/1/2015,9369
04/24/2015,9373
04/17/2015,9366
04/10/2015,9384
04/3/2015,9404
03/27/2015,9386
03/20/2015,9422
03/13/2015,9419
03/6/2015,9366
02/27/2015,9324
02/20/2015,9285
02/13/2015,9280
02/6/2015,9226
01/30/2015,9177
01/23/2015,9213
01/16/2015,9186
01/9/2015,9192
01/2/2015,9132
12/26/2014,9121
12/19/2014,9127
12/12/2014,9137
12/5/2014,9118
11/28/2014,9083
11/21/2014,9077
11/14/2014,9004
11/7/2014,9063
10/31/2014,8972
10/24/2014,8970
10/17/2014,8934
10/10/2014,8951
10/3/2014,8875
09/26/2014,8837
09/19/2014,8867
09/12/2014,8838
09/5/2014,8590
08/29/2014,8630
08/22/2014,8631
08/15/2014,8577
08/8/2014,8556
08/1/2014,8453
07/25/2014,8443
07/18/2014,8565
07/11/2014,8592
07/4/2014,8514
06/27/2014,8442
06/20/2014,8446
06/13/2014,8477
06/6/2014,8460
05/30/2014,8383
