date,production
02/12/2016,9135
02/19/2016,9102
02/26/2016,9077
03/4/2016,9078
03/11/2016,9068
03/18/2016,9038
03/25/2016,9022
04/1/2016,9008
04/8/2016,8977
04/15/2016,8953
04/22/2016,8938
04/29/2016,8825
05/6/2016,8802
05/13/2016,8791
05/20/2016,8767
05/27/2016,8735
06/3/2016,8745
06/10/2016,8716
06/17/2016,8677
06/24/2016,8622
07/1/2016,8428
07/8/2016,8485
07/15/2016,8494
07/22/2016,8515
07/29/2016,8460
08/5/2016,8445
08/12/2016,8597
08/19/2016,8548
08/26/2016,8488
09/2/2016,8458
09/9/2016,8493
09/16/2016,8512
09/23/2016,8497
09/30/2016,8467
10/7/2016,8450
10/14/2016,8464
10/21/2016,8504
10/28/2016,8522
11/4/2016,8692
11/11/2016,8681
11/18/2016,8690
11/25/2016,8699
12/2/2016,8697
12/9/2016,8796
12/16/2016,8786
12/23/2016,8766
12/30/2016,8770
01/6/2017,8946
01/13/2017,8944
01/20/2017,8961
01/27/2017,8915
02/3/2017,8978
02/10/2017,8977
02/17/2017,9001
02/24/2017,9032
03/3/2017,9088
03/10/2017,9109
03/17/2017,9129
03/24/2017,9147
03/31/2017,9199
04/7/2017,9235
04/14/2017,9252
04/21/2017,9265
04/28/2017,9293
05/5/2017,9314
05/12/2017,9305
05/19/2017,9320
05/26/2017,9342
06/2/2017,9318
06/9/2017,9330
06/16/2017,9350
06/23/2017,9250
06/30/2017,9338
07/7/2017,9397
07/14/2017,9429
07/21/2017,9410
07/28/2017,9430
08/4/2017,9423
08/11/2017,9502
08/18/2017,9528
08/25/2017,9530
09/1/2017,8781
09/8/2017,9353
09/15/2017,9510
09/22/2017,9547
09/29/2017,9561
10/6/2017,9480
10/13/2017,8406
10/20/2017,9507
10/27/2017,9553
11/3/2017,9620
11/10/2017,9645
11/17/2017,9658
11/24/2017,9682
12/1/2017,9707
12/8/2017,9780
12/15/2017,9789
12/22/2017,9754
12/29/2017,9782
01/5/2018,9492
01/12/2018,9750
01/19/2018,9878
01/26/2018,9919
02/2/2018,10251
02/9/2018,10271
02/16/2018,10270
02/23/2018,10283
03/2/2018,10369
03/9/2018,10381
03/16/2018,10407
03/23/2018,10433
03/30/2018,10460
04/6/2018,10525
04/13/2018,10540
04/20/2018,10586
04/27/2018,10619
05/4/2018,10703
05/11/2018,10723
05/18/2018,10725
05/25/2018,10769
06/1/2018,10800
06/8/2018,10900
06/15/2018,10900
06/22/2018,10900
06/29/2018,10900
07/6/2018,10900
07/13/2018,11000
07/20/2018,11000
07/27/2018,10900
08/3/2018,10800
08/10/2018,10900
08/17/2018,11000
08/24/2018,11000
08/31/2018,11000
09/7/2018,10900
09/14/2018,11000
09/21/2018,11100
09/28/2018,11100
10/5/2018,11200
10/12/2018,10900
10/19/2018,10900
10/26/2018,11200
11/2/2018,11600
11/9/2018,11700
11/16/2018,11700
11/23/2018,11700
11/30/2018,11700
12/7/2018,11600
12/14/2018,11600
12/21/2018,11700
12/28/2018,11700
01/4/2019,11700
01/11/2019,11900
01/18/2019,11900
01/25/2019,11900
02/1/2019,11900
02/8/2019,11900
02/15/2019,12000
02/22/2019,12100
03/1/2019,12100
03/8/2019,12000
03/15/2019,12100
03/22/2019,12100
03/29/2019,12200
04/5/2019,12200
04/12/2019,12100
04/19/2019,12200
04/26/2019,12300
05/3/2019,12200
05/10/2019,12100
05/17/2019,12200
05/24/2019,12300
05/31/2019,12400
06/7/2019,12300
06/14/2019,12200
06/21/2019,12100
06/28/2019,12200
07/5/2019,12300
07/12/2019,12000
07/19/2019,11300
07/26/2019,12200
08/2/2019,12300
08/9/2019,12300
08/16/2019,12300
08/23/2019,12500
08/30/2019,12400
09/6/2019,12400
09/13/2019,12400
09/20/2019,12500
09/27/2019,12400
10/4/2019,12600
10/11/2019,12600
10/18/2019,12600
10/25/2019,12600
11/1/2019,12600
11/8/2019,12800
11/15/2019,12800
11/22/2019,12900
11/29/2019,12900
12/6/2019,12800
12/13/2019,12800
12/20/2019,12900
12/27/2019,12900
01/3/2020,12900
01/10/2020,13000
01/17/2020,13000
01/24/2020,13000
01/31/2020,12900
02/7/2020,13000
02/14/2020,13000
02/21/2020,13000
02/28/2020,13100
03/6/2020,13000
03/13/2020,13100
03/20/2020,13000
03/27/2020,13000
04/3/2020,12400
04/10/2020,12300
04/17/2020,12200
04/24/2020,12100
05/1/2020,11900
05/8/2020,11600
05/15/2020,11500
05/22/2020,11400
05/29/2020,11200
06/5/2020,11100
06/12/2020,10500
06/19/2020,11000
06/26/2020,11000
07/3/2020,11000
07/10/2020,11000
07/17/2020,11100
07/24/2020,11100
07/31/2020,11000
08/7/2020,10700
08/14/2020,10700
08/21/2020,10800
08/28/2020,9700
09/4/2020,10000
09/11/2020,10900
09/18/2020,10700
09/25/2020,10700
10/2/2020,11000
10/9/2020,10500
10/16/2020,9900
10/23/2020,11100
10/30/2020,10500
11/6/2020,10500
11/13/2020,10900
11/20/2020,11000
11/27/2020,11100
12/4/2020,11100
12/11/2020,11000
12/18/2020,11000
12/25/2020,11000
01/1/2021,11000
01/8/2021,11000
01/15/2021,11000
01/22/2021,10900
01/29/2021,10900
02/5/2021,11000
02/12/2021,10800
02/19/2021,9700
02/26/2021,10000
03/5/2021,10900
03/12/2021,10900
03/19/2021,11000
03/26/2021,11100
04/2/2021,10900
04/9/2021,11000
04/16/2021,11000
04/23/2021,10900
04/30/2021,10900
05/7/2021,11000
05/14/2021,11000
05/21/2021,11000
05/28/2021,10800
06/4/2021,11000
06/11/2021,11200
06/18/2021,11100
06/25/2021,11100
07/2/2021,11300
07/9/2021,11400
07/16/2021,11400
07/23/2021,11200
07/30/2021,11200
08/6/2021,11300
08/13/2021,11400
08/20/2021,11400
08/27/2021,11500
09/3/2021,10000
09/10/2021,10100
09/17/2021,10600
09/24/2021,11100
10/1/2021,11300
10/8/2021,11400
10/15/2021,11300
10/22/2021,11300
10/29/2021,11500
11/5/2021,11500
11/12/2021,11400
11/19/2021,11500
11/26/2021,11600
12/3/2021,11700
12/10/2021,11700
12/17/2021,11600
12/24/2021,11800
