,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day,Month,Year
271,823,Jan,2001
272,943,Dec,2000
273,984,Nov,2000
274,1143,Oct,2000
275,929,Sep,2000
276,943,Aug,2000
277,762,Jul,2000
278,783,Jun,2000
279,717,May,2000
280,875,Apr,2000
281,855,Mar,2000
282,728,Feb,2000
283,693,Jan,2000
284,972,Dec,1999
285,774,Nov,1999
286,766,Oct,1999
287,766,Sep,1999
288,677,Aug,1999
289,724,Jul,1999
290,696,Jun,1999
291,747,May,1999
292,815,Apr,1999
293,607,Mar,1999
294,534,Feb,1999
295,660,Jan,1999
296,698,Dec,1998
297,614,Nov,1998
298,653,Oct,1998
299,748,Sep,1998
300,641,Aug,1998
301,784,Jul,1998
302,831,Jun,1998
303,823,May,1998
304,800,Apr,1998
305,769,Mar,1998
306,674,Feb,1998
307,765,Jan,1998
308,969,Dec,1997
309,793,Nov,1997
310,849,Oct,1997
311,793,Sep,1997
312,889,Aug,1997
313,862,Jul,1997
314,811,Jun,1997
315,785,May,1997
316,769,Apr,1997
317,695,Mar,1997
318,683,Feb,1997
319,843,Jan,1997
