,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-01-01,13011.351081951323,12812.539498458846,13362.668738551589,13011.351081951323,13011.351081951323,82.24463242420403,82.24463242420403,82.24463242420403,82.24463242420403,82.24463242420403,82.24463242420403,0.0,0.0,0.0,13093.595714375528
1,2024-02-01,13076.780783757831,12849.848053601421,13437.180686970036,13064.51187966666,13085.29915128582,75.37378858605226,75.37378858605226,75.37378858605226,75.37378858605226,75.37378858605226,75.37378858605226,0.0,0.0,0.0,13152.154572343883
2,2024-03-01,13137.989214480049,12883.08645275013,13478.632764530368,13098.797193323557,13169.396531509761,45.83505896351385,45.83505896351385,45.83505896351385,45.83505896351385,45.83505896351385,45.83505896351385,0.0,0.0,0.0,13183.824273443563
3,2024-04-01,13203.418916286559,12965.273608884705,13583.083845707146,13122.440568208483,13270.327428111283,78.99924018680122,78.99924018680122,78.99924018680122,78.99924018680122,78.99924018680122,78.99924018680122,0.0,0.0,0.0,13282.418156473359
4,2024-05-01,13266.737982550923,12984.485477640199,13620.027682656768,13126.103868699904,13380.609854229813,40.618394594375474,40.618394594375474,40.618394594375474,40.618394594375474,40.618394594375474,40.618394594375474,0.0,0.0,0.0,13307.3563771453
5,2024-06-01,13332.16768435743,13013.106905274994,13670.083079896154,13133.662964652998,13505.38060662051,-2.487126079567289,-2.487126079567289,-2.487126079567289,-2.487126079567289,-2.487126079567289,-2.487126079567289,0.0,0.0,0.0,13329.680558277862
6,2024-07-01,13395.486750621796,12964.29099134695,13708.605666807183,13133.305082321987,13635.2207449191,-49.80449653915978,-49.80449653915978,-49.80449653915978,-49.80449653915978,-49.80449653915978,-49.80449653915978,0.0,0.0,0.0,13345.682254082636
7,2024-08-01,13460.916452428306,12931.027868718118,13749.236330855938,13114.886718049376,13773.92466264208,-91.23512806964732,-91.23512806964732,-91.23512806964732,-91.23512806964732,-91.23512806964732,-91.23512806964732,0.0,0.0,0.0,13369.681324358658
8,2024-09-01,13526.346154234812,12769.511554581364,13751.177691287945,13100.63374812022,13898.939760445983,-243.82843390958416,-243.82843390958416,-243.82843390958416,-243.82843390958416,-243.82843390958416,-243.82843390958416,0.0,0.0,0.0,13282.517720325228
9,2024-10-01,13589.665220499177,12964.909845005583,14082.966663404715,13085.408605140652,14039.216023352345,-37.12870772036931,-37.12870772036931,-37.12870772036931,-37.12870772036931,-37.12870772036931,-37.12870772036931,0.0,0.0,0.0,13552.536512778808
10,2024-11-01,13655.094922305687,13007.165223759026,14277.316150281884,13069.417130553147,14171.886689891457,22.25751625530726,22.25751625530726,22.25751625530726,22.25751625530726,22.25751625530726,22.25751625530726,0.0,0.0,0.0,13677.352438560994
11,2024-12-01,13718.41398857005,13118.690535166073,14431.65898839064,13043.856258015201,14305.086438761988,83.8542247579684,83.8542247579684,83.8542247579684,83.8542247579684,83.8542247579684,83.8542247579684,0.0,0.0,0.0,13802.268213328018
