,ds, Unnamed: 0,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day,Month,Year,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels),y, U.S. Electricity Consumption (billion kilowatthours per day),U.S. Heating Degree Days (degree days),U.S. Cooling Degree Days (degree days)
84,2022-05-01,15,3159,5,2022,282692.0,11.73,10.37,123,147
85,2022-06-01,14,3255,6,2022,272253.0,11.8,11.97,26,271
86,2022-07-01,13,3260,7,2022,273158.0,11.83,12.97,4,394
87,2022-08-01,12,3346,8,2022,282576.0,11.99,12.98,6,359
88,2022-09-01,11,3345,9,2022,265399.0,12.33,11.74,44,200
89,2022-10-01,10,2833,10,2022,273011.0,12.38,9.96,257,56
90,2022-11-01,9,3141,11,2022,264805.0,12.38,10.14,513,23
91,2022-12-01,8,3291,12,2022,266473.0,12.14,10.96,782,11
92,2023-01-01,7,2919,1,2023,256756.0,12.57,10.78,715,17
93,2023-02-01,6,2685,2,2023,244016.0,12.53,10.78,621,20
94,2023-03-01,5,3134,3,2023,279211.0,12.77,10.25,585,32
95,2023-04-01,4,2633,4,2023,269880.0,12.65,9.68,297,44
96,2023-05-01,3,2914,5,2023,282251.0,12.69,9.97,145,109
97,2023-06-01,2,3181,6,2023,278365.0,12.89,11.33,44,209
98,2023-07-01,1,3187,7,2023,279416.0,12.96,12.81,5,390
