,ds,y,Capacity
212,2019-11-01,12600,18802
213,2019-10-25,12600,18802
214,2019-10-18,12600,18802
215,2019-10-11,12600,18802
216,2019-10-04,12600,18802
217,2019-09-27,12400,18802
218,2019-09-20,12500,18802
219,2019-09-13,12400,18802
220,2019-09-06,12400,18802
221,2019-08-30,12400,18802
222,2019-08-23,12500,18802
223,2019-08-16,12300,18802
224,2019-08-09,12300,18802
225,2019-08-02,12300,18802
226,2019-07-26,12200,18802
227,2019-07-19,11300,18802
228,2019-07-12,12000,18802
229,2019-07-05,12300,18802
230,2019-06-28,12200,18807
231,2019-06-21,12100,18807
232,2019-06-14,12200,18807
233,2019-06-07,12300,18807
234,2019-05-31,12400,18767
235,2019-05-24,12300,18767
236,2019-05-17,12200,18767
237,2019-05-10,12100,18767
238,2019-05-03,12200,18762
239,2019-04-26,12300,18762
240,2019-04-19,12200,18762
241,2019-04-12,12100,18762
242,2019-04-05,12200,18762
243,2019-03-29,12200,18604
244,2019-03-22,12100,18604
245,2019-03-15,12100,18604
246,2019-03-08,12000,18604
247,2019-03-01,12100,18604
248,2019-02-22,12100,18604
249,2019-02-15,12000,18604
250,2019-02-08,11900,18604
251,2019-02-01,11900,18604
252,2019-01-25,11900,18604
253,2019-01-18,11900,18604
254,2019-01-11,11900,18604
255,2019-01-04,11700,18602
256,2018-12-28,11700,18602
257,2018-12-21,11700,18602
258,2018-12-14,11600,18602
259,2018-12-07,11600,18602
260,2018-11-30,11700,18602
261,2018-11-23,11700,18602
262,2018-11-16,11700,18602
263,2018-11-09,11700,18602
264,2018-11-02,11600,18599
265,2018-10-26,11200,18599
266,2018-10-19,10900,18599
267,2018-10-12,10900,18599
268,2018-10-05,11200,18599
269,2018-09-28,11100,18599
270,2018-09-21,11100,18599
271,2018-09-14,11000,18599
272,2018-09-07,10900,18599
273,2018-08-31,11000,18599
274,2018-08-24,11000,18599
275,2018-08-17,11000,18599
276,2018-08-10,10900,18599
277,2018-08-03,10800,18599
278,2018-07-27,10900,18599
279,2018-07-20,11000,18599
280,2018-07-13,11000,18599
281,2018-07-06,10900,18599
282,2018-06-29,10900,18589
283,2018-06-22,10900,18589
284,2018-06-15,10900,18589
285,2018-06-08,10900,18589
286,2018-06-01,10800,18567
287,2018-05-25,10769,18567
288,2018-05-18,10725,18567
289,2018-05-11,10723,18567
290,2018-05-04,10703,18567
291,2018-04-27,10619,18567
292,2018-04-20,10586,18567
293,2018-04-13,10540,18567
294,2018-04-06,10525,18567
295,2018-03-30,10460,18550
296,2018-03-23,10433,18550
297,2018-03-16,10407,18550
298,2018-03-09,10381,18550
299,2018-03-02,10369,18513
300,2018-02-23,10283,18513
301,2018-02-16,10270,18513
302,2018-02-09,10271,18513
303,2018-02-02,10251,18513
304,2018-01-26,9919,18505
305,2018-01-19,9878,18505
306,2018-01-12,9750,18505
307,2018-01-05,9492,18505
308,2017-12-29,9782,18503
309,2017-12-22,9754,18503
310,2017-12-15,9789,18503
311,2017-12-08,9780,18503
312,2017-12-01,9707,18573
313,2017-11-24,9682,18573
314,2017-11-17,9658,18573
315,2017-11-10,9645,18573
316,2017-11-03,9620,18569
317,2017-10-27,9553,18569
318,2017-10-20,9507,18569
319,2017-10-13,8406,18569
320,2017-10-06,9480,18569
321,2017-09-29,9561,18569
322,2017-09-22,9547,18569
323,2017-09-15,9510,18569
324,2017-09-08,9353,18569
325,2017-09-01,8781,18557
326,2017-08-25,9530,18557
327,2017-08-18,9528,18557
328,2017-08-11,9502,18557
329,2017-08-04,9423,18557
330,2017-07-28,9430,18621
331,2017-07-21,9410,18621
332,2017-07-14,9429,18621
333,2017-07-07,9397,18621
334,2017-06-30,9338,18621
335,2017-06-23,9250,18621
336,2017-06-16,9350,18621
337,2017-06-09,9330,18621
338,2017-06-02,9318,18621
339,2017-05-26,9342,18617
340,2017-05-19,9320,18617
341,2017-05-12,9305,18617
342,2017-05-05,9314,18617
343,2017-04-28,9293,18618
344,2017-04-21,9265,18618
345,2017-04-14,9252,18618
346,2017-04-07,9235,18618
347,2017-03-31,9199,18508
348,2017-03-24,9147,18508
349,2017-03-17,9129,18508
350,2017-03-10,9109,18508
351,2017-03-03,9088,18474
352,2017-02-24,9032,18474
353,2017-02-17,9001,18474
354,2017-02-10,8977,18474
355,2017-02-03,8978,18474
356,2017-01-27,8915,18474
357,2017-01-20,8961,18474
358,2017-01-13,8944,18474
359,2017-01-06,8946,18474
360,2016-12-30,8770,18459
361,2016-12-23,8766,18459
362,2016-12-16,8786,18459
363,2016-12-09,8796,18460
364,2016-12-02,8697,18436
365,2016-11-25,8699,18436
366,2016-11-18,8690,18436
367,2016-11-11,8681,18436
368,2016-11-04,8692,18436
369,2016-10-28,8522,18436
370,2016-10-21,8504,18436
371,2016-10-14,8464,18436
372,2016-10-07,8450,18436
373,2016-09-30,8467,18436
374,2016-09-23,8497,18436
375,2016-09-16,8512,18436
376,2016-09-09,8493,18436
377,2016-09-02,8458,18436
378,2016-08-26,8488,18320
379,2016-08-19,8548,18320
380,2016-08-12,8597,18320
381,2016-08-05,8445,18320
382,2016-07-29,8460,18320
383,2016-07-22,8515,18320
384,2016-07-15,8494,18320
385,2016-07-08,8485,18320
386,2016-07-01,8428,18307
387,2016-06-24,8622,18307
388,2016-06-17,8677,18307
389,2016-06-10,8716,18307
390,2016-06-03,8745,18317
391,2016-05-27,8735,18317
392,2016-05-20,8767,18317
