,1.4606258726119996
0,11.797334671020508
1,11.61037254333496
2,12.065404891967772
3,12.068660736083984
4,11.444412231445312
5,11.779934883117676
6,11.160836219787598
7,11.572525024414062
8,10.925430297851562
9,10.905046463012695
10,11.902181625366213
11,11.2569580078125
12,11.978141784667969
13,11.827587127685549
14,12.20270824432373
15,12.355262756347656
16,11.678060531616213
17,11.574312210083008
18,11.30483341217041
19,11.724053382873535
20,10.709480285644531
21,10.199872016906738
22,11.807746887207031
23,11.383726119995115
24,12.138843536376951
25,12.011457443237305
26,12.205617904663086
27,12.42331314086914
28,11.550832748413086
29,11.853153228759766
30,11.098529815673828
31,11.647663116455078
32,11.057037353515623
33,9.946905136108398
34,11.963788032531738
35,11.219289779663086
36,12.090130805969238
37,12.062156677246094
38,12.269728660583496
39,12.457853317260742
40,11.24766731262207
41,11.759689331054688
42,11.307222366333008
43,11.543264389038086
44,11.031845092773438
45,10.26436996459961
46,11.612049102783203
47,11.539810180664062
48,12.086124420166016
49,11.949650764465332
50,12.143954277038574
51,12.521240234375
52,11.296027183532717
53,11.81613826751709
54,11.240959167480469
55,11.296993255615234
56,10.971050262451172
57,10.632943153381348
58,9.732218742370604
59,6.98429536819458
60,9.126212120056152
61,10.194615364074709
62,10.760202407836914
63,10.839763641357422
64,10.494336128234863
65,10.54157543182373
66,9.757979393005373
67,9.85646629333496
68,9.71194076538086
69,8.848278999328613
70,10.849393844604492
71,10.84300136566162
72,11.564040184020996
73,11.530352592468262
74,11.83616828918457
75,11.697452545166016
76,11.006464004516602
77,11.488275527954102
78,11.03903579711914
79,11.202967643737791
80,10.142786026000977
81,9.81435203552246
82,11.398574829101562
83,10.7435941696167
84,11.582718849182127
85,11.14893627166748
86,11.197759628295898
87,11.590337753295898
88,10.8351411819458
89,11.17434310913086
90,10.76717472076416
91,10.801359176635742
92,10.420772552490234
93,9.901853561401367
94,11.3817138671875
95,11.051637649536133
96,11.579716682434082
97,11.408554077148438
98,11.46279525756836
99,11.84603214263916
