"Series Key",EBA.US48-ALL.D.H
"Series Name","EBA.US48-ALL.D.H, hourly"
Units,megawatthours
Frequency,H
"Start Date",20231102T20
"End Date",20230408T13
Source,"EIA, U.S. Energy Information Administration"

20231019T13,419493
20231019T12,409562
20231019T11,386994
20231019T10,364167
20231019T09,356480
20231019T08,357141
20231019T07,363582
20231019T06,373812
20231019T05,388472
20231019T04,409441
20231019T03,431952
20231019T02,451504
20231019T01,464298
20231019T00,467831
20231018T23,461932
20231018T22,455533
20231018T21,448328
20231018T20,443007
20231018T19,437669
20231018T18,433903
20231018T17,430469
20231018T16,428333
20231018T15,427286
20231018T14,426456
20231018T13,423874
20231018T12,413256
20231018T11,388450
20231018T10,364793
20231018T09,357112
20231018T08,357133
20231018T07,363191
20231018T06,372676
20231018T05,386822
20231018T04,406906
20231018T03,427706
20231018T02,446245
20231018T01,458229
20231018T00,459744
20231017T23,453373
20231017T22,444896
20231017T21,436511
20231017T20,430814
20231017T19,428953
20231017T18,427489
20231017T17,426609
20231017T16,426578
20231017T15,426319
20231017T14,425317
20231017T13,423575
20231017T12,414382
20231017T11,391433
20231017T10,368023
20231017T09,359329
20231017T08,358595
20231017T07,363994
20231017T06,372707
20231017T05,386454
20231017T04,405141
20231017T03,427388
20231017T02,446686
20231017T01,458373
20231017T00,459724
20231016T23,452482
20231016T22,443150
20231016T21,435147
20231016T20,430056
20231016T19,429881
20231016T18,429515
20231016T17,428494
20231016T16,427704
20231016T15,426395
20231016T14,422772
20231016T13,416368
20231016T12,403926
20231016T11,380516
20231016T10,357408
20231016T09,347030
20231016T08,346340
20231016T07,351285
20231016T06,360267
20231016T05,372689
20231016T04,390229
20231016T03,409900
20231016T02,425525
20231016T01,435152
20231016T00,432782
20231015T23,422647
20231015T22,412230
20231015T21,403629
20231015T20,397782
20231015T19,396143
20231015T18,393565
20231015T17,389706
20231015T16,384358
20231015T15,378191
20231015T14,369399
20231015T13,358237
20231015T12,347964
20231015T11,339257
20231015T10,335656
20231015T09,336294
20231015T08,339606
20231015T07,346794
20231015T06,357479
20231015T05,370832
20231015T04,388147
20231015T03,404609
20231015T02,417416
20231015T01,425269
20231015T00,427301
20231014T23,425228
20231014T22,423080
20231014T21,418830
20231014T20,413886
20231014T19,411551
20231014T18,416370
20231014T17,416763
20231014T16,410219
20231014T15,402386
20231014T14,390606
20231014T13,377210
20231014T12,365704
20231014T11,356947
20231014T10,351537
20231014T09,351946
20231014T08,357726
20231014T07,366701
20231014T06,379243
20231014T05,395225
20231014T04,413971
20231014T03,432821
20231014T02,448899
20231014T01,460469
20231014T00,468266
20231013T23,471466
20231013T22,472494
20231013T21,468845
20231013T20,464495
20231013T19,461057
20231013T18,455992
20231013T17,450291
20231013T16,444264
20231013T15,438239
20231013T14,427826
20231013T13,419523
20231013T12,407868
20231013T11,387015
20231013T10,370100
20231013T09,362932
20231013T08,364453
20231013T07,371183
20231013T06,382919
20231013T05,399974
20231013T04,419732
20231013T03,440845
20231013T02,459723
20231013T01,471238
20231013T00,474714
20231012T23,471424
20231012T22,468124
20231012T21,462633
20231012T20,456422
20231012T19,452662
20231012T18,450032
20231012T17,446149
20231012T16,442510
20231012T15,436605
20231012T14,428089
20231012T13,421625
20231012T12,410287
20231012T11,388337
20231012T10,368577
20231012T09,361522
20231012T08,362123
20231012T07,369056
20231012T06,379578
20231012T05,395247
20231012T04,413280
20231012T03,434071
20231012T02,452030
20231012T01,463223
20231012T00,466568
20231011T23,462699
20231011T22,458973
20231011T21,454419
20231011T20,450779
20231011T19,447820
20231011T18,445526
20231011T17,441595
20231011T16,436902
20231011T15,432386
20231011T14,425825
20231011T13,421443
20231011T12,410808
20231011T11,389554
20231011T10,369096
20231011T09,360892
20231011T08,362393
20231011T07,369487
20231011T06,382106
20231011T05,398124
20231011T04,417219
20231011T03,439555
20231011T02,459759
20231011T01,473275
20231011T00,476328
20231010T23,472816
20231010T22,470192
20231010T21,465404
20231010T20,458888
20231010T19,453154
20231010T18,448257
20231010T17,440709
20231010T16,434034
20231010T15,427456
20231010T14,422110
20231010T13,417357
20231010T12,406784
20231010T11,385407
20231010T10,365006
20231010T09,357506
20231010T08,358790
20231010T07,365340
20231010T06,376661
20231010T05,392516
20231010T04,412469
20231010T03,434580
20231010T02,455306
20231010T01,469940
20231010T00,474209
20231009T23,472557
20231009T22,463994
20231009T21,457498
20231009T20,448470
20231009T19,441010
20231009T18,435133
20231009T17,429184
20231009T16,423414
20231009T15,418590
20231009T14,414138
20231009T13,406668
20231009T12,394308
20231009T11,373527
20231009T10,353919
20231009T09,345235
20231009T08,345023
20231009T07,351297
20231009T06,360896
20231009T05,375300
20231009T04,394709
20231009T03,414902
20231009T02,432225
20231009T01,443207
20231009T00,442750
20231008T23,434591
20231008T22,425232
20231008T21,413701
20231008T20,404071
20231008T19,398540
20231008T18,394966
20231008T17,388420
20231008T16,381393
20231008T15,375225
20231008T14,368030
20231008T13,357530
20231008T12,347783
20231008T11,341160
20231008T10,337809
20231008T09,338282
20231008T08,342574
20231008T07,350484
20231008T06,361241
20231008T05,376191
20231008T04,395016
20231008T03,414230
20231008T02,430489
20231008T01,440617
20231008T00,443155
20231007T23,439963
20231007T22,437564
20231007T21,433190
20231007T20,428723
20231007T19,426181
20231007T18,423386
20231007T17,420616
20231007T16,413624
20231007T15,405028
20231007T14,393508
20231007T13,379800
20231007T12,367855
20231007T11,360144
20231007T10,356303
20231007T09,357543
20231007T08,363908
20231007T07,374499
20231007T06,389312
20231007T05,408180
20231007T04,431904
20231007T03,455329
20231007T02,476401
20231007T01,493008
20231007T00,500911
20231006T23,506417
20231006T22,510180
20231006T21,508735
20231006T20,503428
20231006T19,496353
20231006T18,488523
20231006T17,477909
20231006T16,464676
20231006T15,452242
20231006T14,438619
20231006T13,425568
20231006T12,411665
20231006T11,393534
20231006T10,376829
20231006T09,372158
20231006T08,375532
20231006T07,385765
20231006T06,401343
20231006T05,420333
20231006T04,445883
20231006T03,473783
20231006T02,496793
20231006T01,512413
20231006T00,518786
20231005T23,519818
20231005T22,520727
20231005T21,516148
20231005T20,508949
20231005T19,501042
20231005T18,491702
20231005T17,480212
20231005T16,467407
20231005T15,454898
20231005T14,443211
20231005T13,430904
20231005T12,419787
20231005T11,402308
20231005T10,384720
20231005T09,378724
20231005T08,383312
20231005T07,393598
20231005T06,410752
20231005T05,431544
20231005T04,457343
20231005T03,486415
20231005T02,513683
20231005T01,534188
20231005T00,544611
20231004T23,551012
20231004T22,556661
20231004T21,554194
20231004T20,545893
20231004T19,534062
20231004T18,520203
20231004T17,503674
20231004T16,484708
20231004T15,467340
20231004T14,449059
20231004T13,435638
20231004T12,424183
20231004T11,405207
20231004T10,385767
20231004T09,379643
20231004T08,383897
20231004T07,394049
20231004T06,410491
20231004T05,431129
20231004T04,458463
20231004T03,487663
20231004T02,512246
20231004T01,533625
20231004T00,545181
20231003T23,554955
20231003T22,561536
20231003T21,555617
20231003T20,545611
20231003T19,531436
20231003T18,514601
20231003T17,494556
20231003T16,474719
20231003T15,455543
20231003T14,438375
20231003T13,426669
20231003T12,415938
20231003T11,398011
20231003T10,379269
20231003T09,373201
20231003T08,376901
20231003T07,387756
20231003T06,403501
20231003T05,425039
20231003T04,452606
20231003T03,483052
20231003T02,509910
20231003T01,531495
20231003T00,545996
20231002T23,557110
20231002T22,564606
20231002T21,560799
20231002T20,549432
20231002T19,535230
20231002T18,519134
20231002T17,498782
20231002T16,477800
20231002T15,456946
20231002T14,437181
20231002T13,423270
20231002T12,411776
20231002T11,393000
20231002T10,374316
20231002T09,367617
20231002T08,370612
20231002T07,380255
20231002T06,394278
20231002T05,413881
20231002T04,438987
20231002T03,465320
20231002T02,488236
20231002T01,507406
20231002T00,519369
20231001T23,527013
20231001T22,528970
20231001T21,521107
20231001T20,508609
20231001T19,495084
20231001T18,478222
20231001T17,457619
20231001T16,433397
20231001T15,411808
20231001T14,392161
20231001T13,375848
20231001T12,365943
20231001T11,361525
20231001T10,360609
20231001T09,364072
20231001T08,371553
20231001T07,382777
20231001T06,398321
20231001T05,416793
20231001T04,440404
20231001T03,461245
20231001T02,480512
20231001T01,499796
20231001T00,514876
20230930T23,527414
20230930T22,532151
20230930T21,528175
20230930T20,518487
20230930T19,506822
20230930T18,492453
20230930T17,473563
20230930T16,453152
20230930T15,431786
20230930T14,411077
20230930T13,393057
20230930T12,382720
20230930T11,376001
20230930T10,372471
20230930T09,374705
20230930T08,380949
20230930T07,393021
20230930T06,409875
20230930T05,430014
20230930T04,454258
20230930T03,476805
20230930T02,498804
20230930T01,518524
20230930T00,533268
20230929T23,545329
20230929T22,551247
20230929T21,546651
20230929T20,538212
20230929T19,527777
20230929T18,514606
20230929T17,498178
20230929T16,481337
20230929T15,464257
20230929T14,446984
20230929T13,432682
20230929T12,420997
20230929T11,402378
20230929T10,385688
20230929T09,381208
20230929T08,385832
20230929T07,396675
20230929T06,412092
20230929T05,433570
20230929T04,458989
20230929T03,484576
20230929T02,508436
20230929T01,525748
20230929T00,533741
20230928T23,538226
20230928T22,534644
20230928T21,531199
20230928T20,520983
20230928T19,509661
20230928T18,497890
20230928T17,484358
20230928T16,469961
20230928T15,454907
20230928T14,441137
20230928T13,431182
20230928T12,420852
20230928T11,402043
20230928T10,384813
20230928T09,378484
20230928T08,383109
20230928T07,393861
20230928T06,409118
20230928T05,430086
20230928T04,455229
20230928T03,481377
20230928T02,505359
20230928T01,523686
20230928T00,532333
20230927T23,535275
20230927T22,535330
20230927T21,529184
20230927T20,519670
20230927T19,509850
20230927T18,496407
20230927T17,482840
20230927T16,467462
20230927T15,454049
20230927T14,441233
20230927T13,432023
20230927T12,423195
20230927T11,404311
20230927T10,387007
20230927T09,381286
20230927T08,385299
20230927T07,395743
20230927T06,411791
20230927T05,432183
20230927T04,458601
20230927T03,487964
20230927T02,513894
20230927T01,532382
20230927T00,543177
20230926T23,548832
20230926T22,550440
20230926T21,546358
20230926T20,537510
20230926T19,527273
20230926T18,514805
20230926T17,499575
20230926T16,481623
20230926T15,464249
20230926T14,447263
20230926T13,434421
20230926T12,423756
20230926T11,406151
20230926T10,387508
20230926T09,382518
20230926T08,386191
20230926T07,396939
20230926T06,412862
20230926T05,434004
20230926T04,461280
20230926T03,489136
20230926T02,513765
20230926T01,534144
20230926T00,546444
20230925T23,554276
20230925T22,558100
20230925T21,554239
20230925T20,546763
20230925T19,536039
20230925T18,520240
20230925T17,501850
20230925T16,482195
20230925T15,464247
20230925T14,447085
20230925T13,432248
20230925T12,417395
20230925T11,398628
20230925T10,381198
20230925T09,375901
20230925T08,379163
20230925T07,388762
20230925T06,403262
20230925T05,423805
20230925T04,447336
20230925T03,471975
20230925T02,494708
20230925T01,511616
20230925T00,518912
20230924T23,523612
20230924T22,521810
20230924T21,514310
20230924T20,503188
20230924T19,490954
20230924T18,475901
20230924T17,457443
20230924T16,435664
20230924T15,416015
20230924T14,395682
20230924T13,379423
20230924T12,368941
20230924T11,365131
20230924T10,364346
20230924T09,368316
20230924T08,375345
20230924T07,383631
20230924T06,397829
20230924T05,416631
20230924T04,438406
20230924T03,460498
20230924T02,478537
20230924T01,493555
20230924T00,504832
20230923T23,515678
20230923T22,518449
20230923T21,513553
20230923T20,505368
20230923T19,493550
